Gc(J/m^2)	P
2.1140813795059605	0.0670389074885347
2.127391879248971	0.06604096495517497
2.140702378991982	0.06506059986239476
2.1540128787349926	0.06409745436247949
2.1673233784780033	0.06315117884255372
2.180633878221014	0.06222143171523631
2.1939443779640246	0.061307879215020566
2.2072548777070358	0.06041019520021318
2.2205653774500465	0.05952806096027741
2.233875877193057	0.05866116502842611
2.247186376936068	0.0578092029993168
2.2604968766790785	0.056971877351702394
2.273807376422089	0.056148897275898224
2.2871178761651	0.055339978505928755
2.300428375908111	0.05454484315621899
2.3137388756511217	0.0537632195627038
2.3270493753941324	0.052994842128227915
2.340359875137143	0.05223945117211537
2.3536703748801537	0.05149679278378938
2.3669808746231644	0.05076661868032817
2.380291374366175	0.05004868606784363
2.3936018741091862	0.04934275750657602
2.406912373852197	0.04864860077959754
