Gc(J/m^2)	probability
2.1140813795059605	0.9329610925114653
2.127391879248971	0.933959035044825
2.140702378991982	0.9349394001376052
2.1540128787349926	0.9359025456375205
2.1673233784780033	0.9368488211574463
2.180633878221014	0.9377785682847637
2.1939443779640246	0.9386921207849794
2.2072548777070358	0.9395898047997868
2.2205653774500465	0.9404719390397226
2.233875877193057	0.9413388349715739
2.247186376936068	0.9421907970006832
2.2604968766790785	0.9430281226482976
2.273807376422089	0.9438511027241018
2.2871178761651	0.9446600214940712
2.300428375908111	0.945455156843781
2.3137388756511217	0.9462367804372962
2.3270493753941324	0.9470051578717721
2.340359875137143	0.9477605488278846
2.3536703748801537	0.9485032072162106
2.3669808746231644	0.9492333813196718
2.380291374366175	0.9499513139321564
2.3936018741091862	0.950657242493424
2.406912373852197	0.9513513992204025
