Gc(J/m^2)	probability_density
2.1140813795059605	0.075643488765721
2.127391879248971	0.07430926666786142
2.140702378991982	0.07300224387772163
2.1540128787349926	0.07172179371266636
2.1673233784780033	0.07046730543685067
2.180633878221014	0.0692381838251137
2.1939443779640246	0.06803384873919072
2.2072548777070358	0.06685373471591058
2.2205653774500465	0.06569729056705392
2.233875877193057	0.06456397899055326
2.247186376936068	0.06345327619272258
2.2604968766790785	0.06236467152121123
2.273807376422089	0.06129766710838374
2.2871178761651	0.060251777524833766
2.300428375908111	0.05922652944274687
2.3137388756511217	0.0582214613088352
2.3270493753941324	0.057236123026571384
2.340359875137143	0.05627007564745772
2.3536703748801537	0.05532289107107337
2.3669808746231644	0.054394151753646924
2.380291374366175	0.05348345042491065
2.3936018741091862	0.05259038981299726
2.406912373852197	0.0517145823771477
